YYMM,Mrk,SMB,HML,RMW,CMA,
19800124,0.702104146,0.279343521,-0.025633896,0.037150639,0.00703559,
19800125,1.008605009,-0.049553981,-0.02805587,0.045155029,0.023849813,
19800128,1.067185944,-0.087227938,-0.02811366,0.030619971,0.017535682,
19800129,1.063967121,-0.107655232,-0.026483755,0.040514399,0.029657467,
19800130,1.062067008,-0.112789606,-0.022731633,0.038658481,0.034795751,
19800131,0.454018462,0.380710797,-0.037260425,0.099865544,0.102665621,
19800201,0.849207062,0.041679541,-0.039057091,0.074784736,0.073385752,
19800204,0.88120759,-0.012641973,-0.033661473,0.08623315,0.078862705,
19800205,0.776326916,0.11401726,-0.025554448,0.077806078,0.057404194,
19800206,0.875206775,0.043544415,-0.007316392,0.051743387,0.036821815,
19800207,0.756348169,0.163717392,-0.005331827,0.049649781,0.035616485,
19800208,0.627111752,0.307750176,-0.004436737,0.047235755,0.022339054,
19800211,0.551344306,0.367316497,-0.003564691,0.055446362,0.029457526,
19800212,0.59614725,0.317980254,-0.004374551,0.053530725,0.036716322,
19800213,0.310173224,0.60836173,-0.004423457,0.062509115,0.023379388,
19800214,0.40314172,0.545393027,-0.007561961,0.051538508,0.007488706,
19800215,0.39758989,0.545278504,-0.007510112,0.04720638,0.017435338,
19800219,0.321897949,0.601793968,-0.005992259,0.05026565,0.032034692,
19800220,0.333214387,0.598618414,-0.005217925,0.047103888,0.026281236,
