Date,Open,High,Low,Close,Adj Close,Volume,,End,Daily Return,Cummulative Return,% Change
7/23/1968,99.330002,99.93,97.889999,99.209999,99.209999,13570000,,,0.998791876,1.355327911,0.355327911
7/25/1968,99.209999,100.07,97.43,97.940002,97.940002,16140000,,,0.987198901,1.337978224,0.337978224
7/26/1968,97.940002,99.139999,97.220001,98.339996,98.339996,11690000,,,1.004084072,1.343442623,0.343442623
7/29/1968,98.339996,98.779999,96.889999,97.650002,97.650002,10940000,,,0.992983587,1.334016475,0.334016475
7/30/1968,97.650002,98.620003,96.839996,97.739998,97.739998,10250000,,,1.000921618,1.335245929,0.335245929
8/1/1968,97.739998,98.82,96.779999,97.279999,97.279999,14380000,,,0.995293646,1.328961789,0.328961789
8/2/1968,97.279999,97.470001,95.790001,96.629997,96.629997,9860000,,,0.993318236,1.32008198,0.32008198
8/5/1968,96.629997,97.510002,95.949997,96.849998,96.849998,8850000,,,1.002276736,1.323087459,0.323087459
8/6/1968,96.849998,97.82,96.419998,97.25,97.25,9620000,,,1.004130119,1.328551967,0.328551967
8/8/1968,97.25,98.32,96.580002,97.040001,97.040001,12920000,,,0.997840627,1.325683128,0.325683128
8/9/1968,97.040001,97.559998,96.110001,97.010002,97.010002,8390000,,,0.999690859,1.325273306,0.325273306
8/12/1968,97.010002,98.489998,96.720001,98.010002,98.010002,10420000,,,1.010308215,1.338934508,0.338934508
8/13/1968,98.010002,99.199997,97.68,98.529999,98.529999,12730000,,,1.00530555,1.346038293,0.346038293
8/15/1968,98.529999,99.360001,97.480003,98.07,98.07,12710000,,,0.995331381,1.339754153,0.339754153
8/16/1968,98.07,99.209999,97.620003,98.68,98.68,9940000,,,1.006220047,1.348087487,0.348087487
8/19/1968,98.68,99.639999,98.160004,99,99,9900000,,,1.003242805,1.352459072,0.352459072
8/20/1968,99,99.650002,98.080002,98.959999,98.959999,10640000,,,0.999595949,1.35191261,0.35191261
8/22/1968,98.959999,99.580002,97.709999,98.699997,98.699997,15140000,,,0.997372656,1.34836067,0.34836067
8/23/1968,98.699997,99.57,97.709999,98.690002,98.690002,9890000,,,0.999898734,1.348224126,0.348224126
8/26/1968,98.690002,99.669998,98.290001,98.940002,98.940002,9740000,,,1.002533185,1.351639427,0.351639427
8/27/1968,98.940002,99.610001,98.160004,98.809998,98.809998,9710000,,,0.998686032,1.349863416,0.349863416
8/29/1968,98.809998,99.489998,97.900002,98.739998,98.739998,10940000,,,0.99929157,1.348907132,0.348907132
8/30/1968,98.739998,99.519997,98.199997,98.860001,98.860001,8190000,,,1.001215343,1.350546517,0.350546517
9/3/1968,98.860001,99.889999,98.309998,99.32,99.32,8620000,,,1.004653035,1.356830657,0.356830657
